Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
1.3	6.75	01/07(Sat.)	7.0	5366a4a268652921a1b9e8dc5390d12fc0652964	16	Afternoon
1.8	8.25	01/03(Tue.)	8.0	1b71e68ee8d392300ef19f66345554ffa7e767fc	10	Morning
1.5	62.25	01/06(Fri.)	47.0	05ea54644e71b129184a303b71a3f5c06b17ff81	14	Afternoon
0.4	4.5	01/05(Thu.)	4.0	238b64ed7502d2ffcadcfbeb152f62b4da550e1f	9	Morning
1.3	7.0	01/03(Tue.)	6.0	6b1039e34d5e39881b1e71517ffb276dc1a5040f	8	Morning
1.3	7.75	01/03(Tue.)	9.0	f1f7313eccb42da612cd9244c0c1fc007355ee1f	12	Afternoon
0.1	8.25	01/07(Sat.)	8.0	1edafc477821c3a490fee9dfd696a580eb8ece37	21	Evening
0.0	19.75	01/01(Sun.)	0.0	e7a76f5c44f9b14c1e51101f432a2ba28a16cbcd	20	Evening
0.63	7.0	01/05(Thu.)	11.0	ffce5d7784bf62560337f93487be3ce68c695bc7	16	Afternoon
0.0	24.0	01/07(Sat.)	0.0	3c1889700b6d4d8b7ef83266223732028a456a7a	18	Evening
8.2	22.75	01/07(Sat.)	20.0	aa9ed75de2b2dcd9289421eebc13edf9566b1b1d	13	Afternoon
0.9	6.0	01/06(Fri.)	5.0	8ed5203c1e80eb369ab36f097dfa60f3b14d61ec	12	Afternoon
0.7	7.25	01/04(Wed.)	11.0	276610ed0f70d130777f3a6dc7cde01e9bc7da67	17	Afternoon
0.0	9.0	01/05(Thu.)	12.0	07b6329e8cb64d03f80924918b42a679ff4841ae	19	Evening
0.0	7.25	01/06(Fri.)	10.0	4525334cf6dc3eec32f6fa73a59efa7359dc1cb9	9	Morning
0.7	6.0	01/04(Wed.)	7.0	8bece36c9d6638355dab81881cf7384c24cf27cb	17	Afternoon
0.9	7.0	01/07(Sat.)	9.0	9350048f80080f074cb1c4bfcb362583b0361079	20	Evening
0.9	6.0	01/04(Wed.)	5.0	bfce1408aebdf5c49f12c5c3161105e6734bdb2e	8	Morning
17.6	46.0	01/05(Thu.)	50.0	101fee9d5c321e840cc41520e95a20845dc3ee37	8	Morning
1.8	8.25	01/06(Fri.)	10.0	25b5b50307afa75b56734c87b31d013d69394061	19	Evening
0.0	6.5	01/03(Tue.)	8.0	b3d32fbfbf92383814e81306890884bd072e1441	18	Evening
0.0	3.25	01/01(Sun.)	0.0	b5e81a67734945926e1f953a944fb4524298617a	10	Morning
0.3	4.25	01/06(Fri.)	2.0	76eb26e774b784e7304dc03b868d94657e1783e5	17	Afternoon
