,state,month,count,category
106,Maine,2020-03,5.0,d-2020-03
107,Maine,2020-04,48.0,d-2020-04
108,Maine,2020-05,36.0,d-2020-05
109,Maine,2020-06,16.0,d-2020-06
110,Maine,2020-07,7.0,d-2020-07
111,Maryland,2020-03,18.0,d-2020-03
112,Maryland,2020-04,1121.0,d-2020-04
113,Maryland,2020-05,1393.0,d-2020-05
114,Maryland,2020-06,658.0,d-2020-06
115,Maryland,2020-07,120.0,d-2020-07
116,Massachusetts,2020-02,0.0,d-2020-02
117,Massachusetts,2020-03,89.0,d-2020-03
118,Massachusetts,2020-04,3473.0,d-2020-04
119,Massachusetts,2020-05,3284.0,d-2020-05
120,Massachusetts,2020-06,1208.0,d-2020-06
121,Massachusetts,2020-07,256.0,d-2020-07
122,Michigan,2020-03,264.0,d-2020-03
123,Michigan,2020-04,3524.0,d-2020-04
124,Michigan,2020-05,1703.0,d-2020-05
125,Michigan,2020-06,706.0,d-2020-06
126,Michigan,2020-07,119.0,d-2020-07
127,Minnesota,2020-03,12.0,d-2020-03
128,Minnesota,2020-04,331.0,d-2020-04
129,Minnesota,2020-05,707.0,d-2020-05
130,Minnesota,2020-06,426.0,d-2020-06
131,Minnesota,2020-07,61.0,d-2020-07
132,Mississippi,2020-03,20.0,d-2020-03
133,Mississippi,2020-04,241.0,d-2020-04
134,Mississippi,2020-05,473.0,d-2020-05
135,Mississippi,2020-06,339.0,d-2020-06
136,Mississippi,2020-07,157.0,d-2020-07
137,Missouri,2020-03,15.0,d-2020-03
138,Missouri,2020-04,326.0,d-2020-04
139,Missouri,2020-05,443.0,d-2020-05
140,Missouri,2020-06,253.0,d-2020-06
141,Missouri,2020-07,75.0,d-2020-07
142,Montana,2020-03,5.0,d-2020-03
143,Montana,2020-04,11.0,d-2020-04
144,Montana,2020-05,1.0,d-2020-05
145,Montana,2020-06,5.0,d-2020-06
146,Montana,2020-07,7.0,d-2020-07
147,Nebraska,2020-02,0.0,d-2020-02
148,Nebraska,2020-03,4.0,d-2020-03
149,Nebraska,2020-04,66.0,d-2020-04
150,Nebraska,2020-05,108.0,d-2020-05
151,Nebraska,2020-06,101.0,d-2020-06
152,Nebraska,2020-07,17.0,d-2020-07
153,Nevada,2020-03,26.0,d-2020-03
154,Nevada,2020-04,217.0,d-2020-04
155,Nevada,2020-05,176.0,d-2020-05
156,Nevada,2020-06,88.0,d-2020-06
157,Nevada,2020-07,85.0,d-2020-07
158,New Hampshire,2020-03,3.0,d-2020-03
159,New Hampshire,2020-04,69.0,d-2020-04
160,New Hampshire,2020-05,173.0,d-2020-05
161,New Hampshire,2020-06,126.0,d-2020-06
162,New Hampshire,2020-07,20.0,d-2020-07
163,New Jersey,2020-03,267.0,d-2020-03
164,New Jersey,2020-04,6961.0,d-2020-04
165,New Jersey,2020-05,4470.0,d-2020-05
166,New Jersey,2020-06,3337.0,d-2020-06
167,New Jersey,2020-07,490.0,d-2020-07
168,New Mexico,2020-03,5.0,d-2020-03
169,New Mexico,2020-04,118.0,d-2020-04
170,New Mexico,2020-05,233.0,d-2020-05
171,New Mexico,2020-06,141.0,d-2020-06
172,New Mexico,2020-07,42.0,d-2020-07
173,New York,2020-03,1929.0,d-2020-03
174,New York,2020-04,21687.0,d-2020-04
175,New York,2020-05,6083.0,d-2020-05
176,New York,2020-06,2077.0,d-2020-06
177,New York,2020-07,243.0,d-2020-07
178,North Carolina,2020-03,10.0,d-2020-03
179,North Carolina,2020-04,375.0,d-2020-04
180,North Carolina,2020-05,526.0,d-2020-05
181,North Carolina,2020-06,451.0,d-2020-06
182,North Carolina,2020-07,157.0,d-2020-07
183,North Dakota,2020-03,3.0,d-2020-03
184,North Dakota,2020-04,16.0,d-2020-04
185,North Dakota,2020-05,45.0,d-2020-05
186,North Dakota,2020-06,24.0,d-2020-06
187,North Dakota,2020-07,3.0,d-2020-07
188,Northern Mariana Islands,2020-03,0.0,d-2020-03
189,Northern Mariana Islands,2020-04,2.0,d-2020-04
190,Northern Mariana Islands,2020-05,0.0,d-2020-05
191,Northern Mariana Islands,2020-06,0.0,d-2020-06
192,Northern Mariana Islands,2020-07,0.0,d-2020-07
193,Ohio,2020-03,55.0,d-2020-03
194,Ohio,2020-04,920.0,d-2020-04
195,Ohio,2020-05,1180.0,d-2020-05
196,Ohio,2020-06,708.0,d-2020-06
197,Ohio,2020-07,173.0,d-2020-07
198,Oklahoma,2020-03,23.0,d-2020-03
199,Oklahoma,2020-04,199.0,d-2020-04
200,Oklahoma,2020-05,112.0,d-2020-05
201,Oklahoma,2020-06,53.0,d-2020-06
202,Oklahoma,2020-07,34.0,d-2020-07
203,Oregon,2020-02,0.0,d-2020-02
204,Oregon,2020-03,18.0,d-2020-03
205,Oregon,2020-04,85.0,d-2020-04
206,Oregon,2020-05,50.0,d-2020-05
207,Oregon,2020-06,56.0,d-2020-06
208,Oregon,2020-07,26.0,d-2020-07
209,Pennsylvania,2020-03,72.0,d-2020-03
210,Pennsylvania,2020-04,2508.0,d-2020-04
211,Pennsylvania,2020-05,2975.0,d-2020-05
212,Pennsylvania,2020-06,1140.0,d-2020-06
213,Pennsylvania,2020-07,250.0,d-2020-07
214,Puerto Rico,2020-03,8.0,d-2020-03
215,Puerto Rico,2020-04,84.0,d-2020-04
216,Puerto Rico,2020-05,44.0,d-2020-05
217,Puerto Rico,2020-06,17.0,d-2020-06
218,Puerto Rico,2020-07,14.0,d-2020-07
219,Rhode Island,2020-03,8.0,d-2020-03
220,Rhode Island,2020-04,258.0,d-2020-04
221,Rhode Island,2020-05,452.0,d-2020-05
222,Rhode Island,2020-06,232.0,d-2020-06
223,Rhode Island,2020-07,26.0,d-2020-07
224,South Carolina,2020-03,22.0,d-2020-03
225,South Carolina,2020-04,222.0,d-2020-04
226,South Carolina,2020-05,250.0,d-2020-05
227,South Carolina,2020-06,245.0,d-2020-06
228,South Carolina,2020-07,212.0,d-2020-07
229,South Dakota,2020-03,1.0,d-2020-03
230,South Dakota,2020-04,16.0,d-2020-04
231,South Dakota,2020-05,45.0,d-2020-05
232,South Dakota,2020-06,29.0,d-2020-06
233,South Dakota,2020-07,18.0,d-2020-07
234,Tennessee,2020-03,13.0,d-2020-03
235,Tennessee,2020-04,187.0,d-2020-04
236,Tennessee,2020-05,160.0,d-2020-05
237,Tennessee,2020-06,237.0,d-2020-06
238,Tennessee,2020-07,131.0,d-2020-07
239,Texas,2020-02,0.0,d-2020-02
240,Texas,2020-03,57.0,d-2020-03
241,Texas,2020-04,771.0,d-2020-04
242,Texas,2020-05,855.0,d-2020-05
243,Texas,2020-06,799.0,d-2020-06
244,Texas,2020-07,710.0,d-2020-07
245,Utah,2020-02,0.0,d-2020-02
246,Utah,2020-03,5.0,d-2020-03
247,Utah,2020-04,41.0,d-2020-04
248,Utah,2020-05,67.0,d-2020-05
249,Utah,2020-06,59.0,d-2020-06
250,Utah,2020-07,40.0,d-2020-07
251,Vermont,2020-03,13.0,d-2020-03
252,Vermont,2020-04,35.0,d-2020-04
253,Vermont,2020-05,7.0,d-2020-05
254,Vermont,2020-06,1.0,d-2020-06
255,Vermont,2020-07,0.0,d-2020-07
256,Virgin Islands,2020-03,0.0,d-2020-03
257,Virgin Islands,2020-04,4.0,d-2020-04
258,Virgin Islands,2020-05,2.0,d-2020-05
259,Virgin Islands,2020-06,0.0,d-2020-06
260,Virgin Islands,2020-07,0.0,d-2020-07
261,Virginia,2020-03,27.0,d-2020-03
262,Virginia,2020-04,525.0,d-2020-04
263,Virginia,2020-05,823.0,d-2020-05
264,Virginia,2020-06,388.0,d-2020-06
265,Virginia,2020-07,199.0,d-2020-07
266,Washington,2020-01,0.0,d-2020-01
267,Washington,2020-02,1.0,d-2020-02
268,Washington,2020-03,225.0,d-2020-03
269,Washington,2020-04,596.0,d-2020-04
270,Washington,2020-05,304.0,d-2020-05
271,Washington,2020-06,207.0,d-2020-06
272,Washington,2020-07,93.0,d-2020-07
273,West Virginia,2020-03,1.0,d-2020-03
274,West Virginia,2020-04,43.0,d-2020-04
275,West Virginia,2020-05,31.0,d-2020-05
276,West Virginia,2020-06,18.0,d-2020-06
277,West Virginia,2020-07,3.0,d-2020-07
278,Wisconsin,2020-02,0.0,d-2020-02
279,Wisconsin,2020-03,25.0,d-2020-03
280,Wisconsin,2020-04,291.0,d-2020-04
281,Wisconsin,2020-05,278.0,d-2020-05
282,Wisconsin,2020-06,199.0,d-2020-06
283,Wisconsin,2020-07,36.0,d-2020-07
284,Wyoming,2020-03,0.0,d-2020-03
285,Wyoming,2020-04,7.0,d-2020-04
286,Wyoming,2020-05,9.0,d-2020-05
287,Wyoming,2020-06,4.0,d-2020-06
288,Wyoming,2020-07,1.0,d-2020-07
